ID,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
1703,Medium,,M,2,28766.9,N,47,6110.61,58,1527.6525,152.76525,8.7,2,13,0.0,152.76525
1704,Low,,M,2,91272.2,Y,25,26992.7,13,13496.35,1349.635,3.25,4,10,1349.635,0.0
1705,Low,,S,0,73228.3,N,42,22472.25,28,11236.125,1123.6125,7.0,4,5,1123.6125,0.0
1706,High,M,M,1,64792.3,N,52,13051.31,36,6525.655,652.5655,9.0,3,6,0.0,652.5655
1707,High,F,S,0,93322.1,Y,40,29922.99,8,14961.495,1496.1495,2.0,4,9,0.0,1496.1495
1708,High,M,M,2,49910.7,Y,52,27422.74,23,13711.37,1371.137,5.75,3,10,0.0,1371.137
1709,High,M,M,0,76161.4,Y,45,11961.2,25,5980.6,598.06,6.25,2,5,0.0,598.06
1710,High,F,M,2,55860.0,Y,15,16011.6,10,8005.8,800.58,2.5,2,8,0.0,800.58
1711,High,M,M,2,57360.8,Y,53,10361.04,57,5180.52,518.052,14.25,1,5,0.0,518.052
1712,Low,M,M,1,92414.7,Y,46,29432.94,10,14716.47,1471.647,2.5,4,5,1471.647,0.0
1713,Low,F,S,2,14578.8,Y,61,11911.19,95,5955.595,595.5595,23.75,1,9,595.5595,0.0
1714,High,F,M,2,87578.2,Y,53,290.03,22,72.5075,7.25075,3.3,5,15,0.0,14.5015
1715,High,F,M,2,86695.4,N,14,25942.59,32,12971.295,1297.1295,8.0,2,7,0.0,1297.1295
1716,High,M,M,1,5306.11,N,39,5520.55,17,1380.1375,138.01375,2.55,5,19,0.0,276.0275
1717,High,F,M,0,83287.0,N,44,29642.96,90,14821.48,1482.148,22.5,4,5,0.0,1482.148
